"References","Quantity","ManufacturerPartNumber","Description","FootprintKey","Status","ReviewNotes"
"U1","1","MDBT50Q-1MV2","nRF52840 BLE module","radio","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE","Normal-voltage mode: VDD and VDDH tied3.0V; DCCH open; unused VBUS grounded; internal LFRC initial firmware. Antenna keepout Y>11.95 per Raytac Version L."
"MK1 MK2","2","SPH0641LU4H-1","Left PDM microphone","mic","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE",""
"U2","1","W25N01GVZEIG","1Gbit SPI NAND /128MiB","flash","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE","Corrected ZE package8×6mm, EP3.4×4.3mm. RevR permits EP floating or GND; GND chosen. No exposed vias under EP. Internal ECC/bad-block handling required."
"U3","1","BQ25185DLHR","53mA Li-ion powerpath charger","charger","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE","R_ISET5.62k gives53.38mA nominal. R22 seriesNTC and U9 hardwarehot cutoff; Q1 requires firmwarepermission, defaultoff. Thermal calculation is conditional on selected NTC and pack qualification."
"U4 U7","2","TLV75530PDBVR","3.0V system regulator","ldo","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE",""
"U5","1","MAX17048G+T10","ModelGauge fuel gauge","gauge","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE",""
"U6","1","DRV2605LDGSR","LRA closed-loop haptics","haptic","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE",""
"U8","1","SN74LVC2G125DCUR","Ioff protected PDM isolation","buffer","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE",""
"U9","1","TLV6700DDCR","Independent charge hot cutoff","comparator","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE","INB- above400mV sinks OUTB; falling below~394.5mV opens chargepermission. Require1ms stableVSYS before CHG_ALLOW. C18 bypass nearVDD."
"Q1","1","DMG2302UK-7","Default-off charge permission","nmos","ENGINEERING CANDIDATE - NOT APPROVED FOR PURCHASE","Gate1 drivenMCUwithR3pulldown; source2 comparatorOUTB; drain3 active-lowchargerCE. Bodydiode source-to-drain prevents OFF drain pullinglow."
