"Reference","MPN","Description/value","Footprint","Qty","Review note"
"U1","MDBT50Q-1MV2","nRF52840 BLE module","radio","1","Normal-voltage mode: VDD and VDDH tied3.0V; DCCH open; unused VBUS grounded; internal LFRC initial firmware. Antenna keepout Y>11.95 per Raytac Version L."
"MK1","SPH0641LU4H-1","Left PDM microphone","mic","1","Pin map crosscheck and sourcing review required"
"MK2","SPH0641LU4H-1","Right PDM microphone","mic","1","Pin map crosscheck and sourcing review required"
"U2","W25N01GVZEIG","1Gbit SPI NAND /128MiB","flash","1","Corrected ZE package8×6mm, EP3.4×4.3mm. RevR permits EP floating or GND; GND chosen. No exposed vias under EP. Internal ECC/bad-block handling required."
"U3","BQ25185DLHR","53mA Li-ion powerpath charger","charger","1","R_ISET5.62k gives53.38mA nominal. R22 seriesNTC and U9 hardwarehot cutoff; Q1 requires firmwarepermission, defaultoff. Thermal calculation is conditional on selected NTC and pack qualification."
"U4","TLV75530PDBVR","3.0V system regulator","ldo","1","Pin map crosscheck and sourcing review required"
"U5","MAX17048G+T10","ModelGauge fuel gauge","gauge","1","Pin map crosscheck and sourcing review required"
"U6","DRV2605LDGSR","LRA closed-loop haptics","haptic","1","Pin map crosscheck and sourcing review required"
"U7","TLV75530PDBVR","Recording-only3V microphone regulator","ldo","1","Pin map crosscheck and sourcing review required"
"U8","SN74LVC2G125DCUR","Ioff protected PDM isolation","buffer","1","Pin map crosscheck and sourcing review required"
"U9","TLV6700DDCR","Independent charge hot cutoff","comparator","1","INB- above400mV sinks OUTB; falling below~394.5mV opens chargepermission. Require1ms stableVSYS before CHG_ALLOW. C18 bypass nearVDD."
"Q1","DMG2302UK-7","Default-off charge permission","nmos","1","Gate1 drivenMCUwithR3pulldown; source2 comparatorOUTB; drain3 active-lowchargerCE. Bodydiode source-to-drain prevents OFF drain pullinglow."
"SW1","JS202011JCQN","Mechanical DPDT microphone OFF","privacy","1","Center commons2,5. OFF connects2-3 and5-6. Break-before-make; verify actuator orientation on first article."
"SW2","KMR211NGULCLFS","Flush face record / stop","record","1","C&K KMR211 NG ULC: no groundtab, lowcurrent contacts,1.2N,0.20±0.10mm electricaltravel,1.9mm actuatorheight. A03 face0.35mm travel/.02mm restgap; returngasket/overtravel needqualification. Singlepressrecord/stop,doublepressbookmark."
"D1","BAT54WS-7-F","Reverse-dock Schottky","diode","1","Pin map crosscheck and sourcing review required"
"D2","PESD5V0S1BA,115","Dock transient suppression","diode","1","Pin map crosscheck and sourcing review required"
"LED1","LTST-C190KFKT","Amber hard recording indicator","led","1","Indicator receives microphone rail power, has no independent firmware-off command."
"J1","AURA-DOCK-PADS","3 ENIG rear pogo contacts","dock","1","Three1.7mm pads atX-3/0/+3,Y-19 belowcell. Rear contactcarrier/tails needqualification. Matingdockkeyed,current-limited5V100mA; magnetsincaseonly."
"J2","AURA-BATTERY-PADS","Protected LiPo and pack10kNTC","battery","1","Candidate FPBattery DNK302025-150mAh actual27±1×20×3mm inclPCM; caseallowance20.5×28×3.3mm,4.2V chemistry. AddSemitec103AT-2 satisfyingreviewedR/Tacceptanceband. Packmaxthickness/swelling/4.221V tolerance andattachedNTCnotqualified."
"J3","AURA-SWD-PADS","6 pogo programming pads","debug","1","Pin map crosscheck and sourcing review required"
"J4","AURA-LRA-PADS","C08-00A LRA wire pads","motor","1","PrecisionMicrodrives C08-00A candidate8±0.1mm×2.6±0.15mm,1.2Vrmsrated/1.25max,240Hz. Start0.84Vrmsengineeringtarget; driverregisters/autoresonancecalibrationandavailabilityunqualified."
"R1","RC0402FR-075K62L","5.62k","r0402","1","YageoRC0402 1%,63mW at70C,50V,100ppm/C. Manufacturer series/specsheet crosscheck; supplier availability to confirm."
